account_id,owner_entity_id,owner_entity_type,account_type,currency,opened_at,status,home_branch,initial_balance,bank_id
ACCT-000034,CUST-000029,CUSTOMER,PAYMENT,VND,2025-02-21T11:59:59Z,ACTIVE,BR-937,10721134,BANK-ACB-004
ACCT-000035,CUST-000030,CUSTOMER,SAVINGS,VND,2023-06-06T02:59:59Z,ACTIVE,BR-484,4410709,BANK-TCB-002
ACCT-000036,CUST-000031,CUSTOMER,PAYMENT,VND,2025-10-08T06:59:59Z,ACTIVE,BR-134,93589035,BANK-VCB-001
ACCT-000037,CUST-000032,CUSTOMER,PAYMENT,VND,2025-08-16T03:59:59Z,ACTIVE,BR-867,135928487,BANK-VCB-001
ACCT-000038,CUST-000033,CUSTOMER,PAYMENT,VND,2021-05-13T07:59:59Z,ACTIVE,BR-323,12377867,BANK-VCB-001
ACCT-000039,CUST-000034,CUSTOMER,PAYMENT,VND,2024-04-16T23:59:59Z,ACTIVE,BR-854,37951825,BANK-MBB-003
ACCT-000040,CUST-000035,CUSTOMER,PAYMENT,VND,2024-01-15T06:59:59Z,ACTIVE,BR-302,20214045,BANK-ACB-004
ACCT-000041,CUST-000036,CUSTOMER,PAYMENT,VND,2022-01-17T23:59:59Z,ACTIVE,BR-547,188324863,BANK-VCB-001
ACCT-000042,CUST-000037,CUSTOMER,PAYMENT,VND,2022-10-15T05:59:59Z,ACTIVE,BR-373,35888994,BANK-VPB-005
ACCT-000043,CUST-000038,CUSTOMER,PAYMENT,VND,2025-10-04T07:59:59Z,ACTIVE,BR-662,67680075,BANK-VPB-005
ACCT-000044,CUST-000039,CUSTOMER,SAVINGS,VND,2024-03-16T04:59:59Z,ACTIVE,BR-850,70981507,BANK-VPB-005
ACCT-000045,CUST-000040,CUSTOMER,PAYMENT,VND,2023-11-15T10:59:59Z,ACTIVE,BR-399,16449064,BANK-VCB-001
ACCT-000046,CUST-000041,CUSTOMER,SAVINGS,VND,2023-11-07T06:59:59Z,ACTIVE,BR-526,83747551,BANK-MBB-003
ACCT-000047,CUST-000041,CUSTOMER,SAVINGS,VND,2025-04-27T23:59:59Z,ACTIVE,BR-919,82041639,BANK-TCB-002
ACCT-000048,CUST-000042,CUSTOMER,PAYMENT,VND,2025-04-14T09:59:59Z,ACTIVE,BR-121,52560131,BANK-VCB-001
ACCT-000049,CUST-000043,CUSTOMER,SAVINGS,VND,2024-04-04T10:59:59Z,ACTIVE,BR-880,32409901,BANK-TCB-002
ACCT-000050,CUST-000044,CUSTOMER,PAYMENT,VND,2025-07-17T05:59:59Z,ACTIVE,BR-776,62130920,BANK-VPB-005
ACCT-000051,CUST-000045,CUSTOMER,PAYMENT,VND,2025-04-09T07:59:59Z,ACTIVE,BR-334,7381057,BANK-VCB-001
ACCT-000052,CUST-000046,CUSTOMER,PAYMENT,VND,2024-03-22T11:59:59Z,ACTIVE,BR-999,35643618,BANK-VCB-001
ACCT-000053,CUST-000047,CUSTOMER,PAYMENT,VND,2025-03-08T03:59:59Z,ACTIVE,BR-140,41585234,BANK-TCB-002
ACCT-000054,CUST-000048,CUSTOMER,SAVINGS,VND,2024-01-06T04:59:59Z,ACTIVE,BR-445,34924542,BANK-TCB-002
ACCT-000055,CUST-000048,CUSTOMER,PAYMENT,VND,2024-11-20T03:59:59Z,ACTIVE,BR-154,68939550,BANK-ACB-004
ACCT-000056,CUST-000049,CUSTOMER,SAVINGS,VND,2023-04-16T10:59:59Z,ACTIVE,BR-131,61046808,BANK-VCB-001
ACCT-000057,CUST-000050,CUSTOMER,SAVINGS,VND,2025-09-12T01:59:59Z,ACTIVE,BR-408,69136403,BANK-VCB-001
ACCT-000058,CUST-000051,CUSTOMER,SAVINGS,VND,2023-12-24T07:59:59Z,ACTIVE,BR-507,77846116,BANK-ACB-004
ACCT-000059,CUST-000051,CUSTOMER,PAYMENT,VND,2025-05-08T11:59:59Z,ACTIVE,BR-485,60187126,BANK-ACB-004
ACCT-000060,CUST-000052,CUSTOMER,SAVINGS,VND,2025-01-24T00:59:59Z,ACTIVE,BR-407,31328212,BANK-MBB-003
ACCT-000061,CUST-000053,CUSTOMER,PAYMENT,VND,2024-04-09T11:59:59Z,ACTIVE,BR-971,42680833,BANK-TCB-002
ACCT-000062,CUST-000053,CUSTOMER,SAVINGS,VND,2025-03-20T02:59:59Z,ACTIVE,BR-800,73734217,BANK-TCB-002
ACCT-000063,CUST-000054,CUSTOMER,SAVINGS,VND,2023-05-30T07:59:59Z,ACTIVE,BR-167,53676893,BANK-TCB-002
ACCT-000064,CUST-000054,CUSTOMER,PAYMENT,VND,2021-12-26T23:59:59Z,ACTIVE,BR-143,49529574,BANK-VPB-005
ACCT-000065,CUST-000055,CUSTOMER,SAVINGS,VND,2023-09-28T23:59:59Z,ACTIVE,BR-386,995550,BANK-TCB-002
ACCT-000066,CUST-000055,CUSTOMER,PAYMENT,VND,2024-07-09T23:59:59Z,ACTIVE,BR-287,12519057,BANK-MBB-003
ACCT-000067,CUST-000056,CUSTOMER,SAVINGS,VND,2025-08-23T02:59:59Z,ACTIVE,BR-179,38319557,BANK-TCB-002
ACCT-000068,CUST-000057,CUSTOMER,PAYMENT,VND,2025-09-20T09:59:59Z,ACTIVE,BR-741,11402870,BANK-MBB-003
ACCT-000069,CUST-000058,CUSTOMER,SAVINGS,VND,2025-06-29T08:59:59Z,ACTIVE,BR-965,57818492,BANK-TCB-002
ACCT-000070,CUST-000058,CUSTOMER,SAVINGS,VND,2025-06-12T11:59:59Z,ACTIVE,BR-757,44503930,BANK-TCB-002
ACCT-000071,CUST-000059,CUSTOMER,PAYMENT,VND,2025-03-10T01:59:59Z,ACTIVE,BR-239,18907198,BANK-ACB-004
ACCT-000072,CUST-000060,CUSTOMER,SAVINGS,VND,2023-12-13T07:59:59Z,ACTIVE,BR-188,1857396,BANK-MBB-003
ACCT-000073,CUST-000061,CUSTOMER,PAYMENT,VND,2025-09-12T23:59:59Z,ACTIVE,BR-531,68811875,BANK-VPB-005
ACCT-000074,CUST-000062,CUSTOMER,PAYMENT,VND,2024-07-14T01:59:59Z,ACTIVE,BR-700,13102379,BANK-MBB-003
ACCT-000075,CUST-000063,CUSTOMER,SAVINGS,VND,2022-01-17T08:59:59Z,ACTIVE,BR-194,96831032,BANK-MBB-003
ACCT-000076,CUST-000064,CUSTOMER,PAYMENT,VND,2024-12-30T01:59:59Z,ACTIVE,BR-595,42091319,BANK-MBB-003
ACCT-000077,CUST-000064,CUSTOMER,SAVINGS,VND,2025-03-05T04:59:59Z,ACTIVE,BR-897,76308318,BANK-ACB-004
ACCT-000078,CUST-000065,CUSTOMER,PAYMENT,VND,2025-09-14T05:59:59Z,ACTIVE,BR-623,33746640,BANK-ACB-004
ACCT-000079,CUST-000066,CUSTOMER,PAYMENT,VND,2024-03-13T06:59:59Z,ACTIVE,BR-282,65157262,BANK-VCB-001
ACCT-000080,CUST-000066,CUSTOMER,SAVINGS,VND,2024-12-29T08:59:59Z,ACTIVE,BR-906,96161810,BANK-VPB-005
ACCT-000081,CUST-000067,CUSTOMER,PAYMENT,VND,2021-07-16T06:59:59Z,ACTIVE,BR-781,138386099,BANK-VCB-001
ACCT-000082,CUST-000068,CUSTOMER,PAYMENT,VND,2023-05-27T09:59:59Z,ACTIVE,BR-762,22039983,BANK-TCB-002
ACCT-000083,CUST-000069,CUSTOMER,PAYMENT,VND,2025-04-05T11:59:59Z,ACTIVE,BR-444,5141385,BANK-MBB-003
ACCT-000084,CUST-000070,CUSTOMER,SAVINGS,VND,2025-09-25T03:59:59Z,ACTIVE,BR-324,5010461,BANK-VCB-001
ACCT-000085,CUST-000071,CUSTOMER,PAYMENT,VND,2023-02-28T07:59:59Z,ACTIVE,BR-901,8367043,BANK-ACB-004
ACCT-000086,CUST-000072,CUSTOMER,SAVINGS,VND,2024-10-29T04:59:59Z,ACTIVE,BR-189,46274199,BANK-VPB-005
ACCT-000087,CUST-000073,CUSTOMER,PAYMENT,VND,2025-02-01T07:59:59Z,ACTIVE,BR-766,43805943,BANK-VPB-005
ACCT-000088,CUST-000074,CUSTOMER,PAYMENT,VND,2024-12-19T03:59:59Z,ACTIVE,BR-107,30959105,BANK-TCB-002
ACCT-000089,CUST-000075,CUSTOMER,PAYMENT,VND,2024-11-08T01:59:59Z,ACTIVE,BR-613,79210060,BANK-ACB-004
ACCT-000090,CUST-000076,CUSTOMER,PAYMENT,VND,2024-12-25T09:59:59Z,ACTIVE,BR-855,52264496,BANK-MBB-003
ACCT-000091,CUST-000077,CUSTOMER,SAVINGS,VND,2023-06-04T04:59:59Z,ACTIVE,BR-595,43513358,BANK-MBB-003
ACCT-000092,CUST-000078,CUSTOMER,PAYMENT,VND,2024-03-21T04:59:59Z,ACTIVE,BR-865,24234979,BANK-MBB-003
ACCT-000093,CUST-000079,CUSTOMER,PAYMENT,VND,2024-08-16T02:59:59Z,ACTIVE,BR-327,8977021,BANK-VCB-001
ACCT-000094,CUST-000079,CUSTOMER,SAVINGS,VND,2024-04-21T04:59:59Z,ACTIVE,BR-364,6718336,BANK-VCB-001
ACCT-000095,CUST-000080,CUSTOMER,PAYMENT,VND,2024-07-25T01:59:59Z,ACTIVE,BR-870,57779104,BANK-MBB-003
ACCT-000096,CUST-000081,CUSTOMER,PAYMENT,VND,2025-07-30T04:59:59Z,ACTIVE,BR-387,550724,BANK-VPB-005
ACCT-000097,CUST-000082,CUSTOMER,SAVINGS,VND,2024-03-03T04:59:59Z,ACTIVE,BR-200,64529353,BANK-TCB-002
ACCT-000098,CUST-000083,CUSTOMER,PAYMENT,VND,2023-08-20T01:59:59Z,ACTIVE,BR-281,61901361,BANK-ACB-004
ACCT-000099,CUST-000083,CUSTOMER,PAYMENT,VND,2024-02-15T03:59:59Z,ACTIVE,BR-306,62508347,BANK-VCB-001
ACCT-000100,CUST-000084,CUSTOMER,SAVINGS,VND,2025-09-28T01:59:59Z,ACTIVE,BR-592,70419542,BANK-VCB-001
ACCT-000101,CUST-000085,CUSTOMER,PAYMENT,VND,2022-03-30T23:59:59Z,ACTIVE,BR-891,47429629,BANK-VPB-005
ACCT-000102,CUST-000086,CUSTOMER,SAVINGS,VND,2025-08-11T09:59:59Z,ACTIVE,BR-744,39619372,BANK-VCB-001
ACCT-000103,CUST-000087,CUSTOMER,PAYMENT,VND,2024-01-17T08:59:59Z,ACTIVE,BR-589,57229654,BANK-VPB-005
ACCT-000104,CUST-000088,CUSTOMER,SAVINGS,VND,2023-12-20T11:59:59Z,ACTIVE,BR-873,88852611,BANK-TCB-002
ACCT-000105,CUST-000089,CUSTOMER,PAYMENT,VND,2025-07-23T02:59:59Z,ACTIVE,BR-556,31295784,BANK-VPB-005
ACCT-000106,CUST-000090,CUSTOMER,PAYMENT,VND,2024-02-11T07:59:59Z,ACTIVE,BR-694,7186685,BANK-VPB-005
ACCT-000107,CUST-000091,CUSTOMER,PAYMENT,VND,2025-08-19T04:59:59Z,ACTIVE,BR-670,65050605,BANK-TCB-002
ACCT-000108,CUST-000092,CUSTOMER,PAYMENT,VND,2024-03-13T07:59:59Z,ACTIVE,BR-284,55854176,BANK-MBB-003
ACCT-000109,CUST-000093,CUSTOMER,PAYMENT,VND,2025-08-02T04:59:59Z,ACTIVE,BR-656,36625228,BANK-ACB-004
ACCT-000110,CUST-000094,CUSTOMER,PAYMENT,VND,2024-06-01T10:59:59Z,ACTIVE,BR-693,22860287,BANK-VCB-001
ACCT-000111,CUST-000095,CUSTOMER,SAVINGS,VND,2023-09-21T05:59:59Z,ACTIVE,BR-513,39312970,BANK-VPB-005
ACCT-000112,CUST-000095,CUSTOMER,SAVINGS,VND,2024-03-15T02:59:59Z,ACTIVE,BR-957,28690726,BANK-VPB-005
ACCT-000113,CUST-000096,CUSTOMER,PAYMENT,VND,2024-09-18T23:59:59Z,ACTIVE,BR-836,65236529,BANK-TCB-002
ACCT-000114,CUST-000096,CUSTOMER,PAYMENT,VND,2025-03-08T01:59:59Z,ACTIVE,BR-513,10593764,BANK-ACB-004
ACCT-000115,CUST-000097,CUSTOMER,PAYMENT,VND,2023-06-04T06:59:59Z,ACTIVE,BR-973,64629753,BANK-VPB-005
ACCT-000116,CUST-000098,CUSTOMER,PAYMENT,VND,2025-03-04T09:59:59Z,ACTIVE,BR-593,97117072,BANK-VPB-005
ACCT-000117,CUST-000098,CUSTOMER,PAYMENT,VND,2024-08-24T08:59:59Z,ACTIVE,BR-548,90518165,BANK-VPB-005
ACCT-000118,CUST-000099,CUSTOMER,PAYMENT,VND,2024-01-27T05:59:59Z,ACTIVE,BR-333,80062323,BANK-VPB-005
ACCT-000119,CUST-000100,CUSTOMER,PAYMENT,VND,2024-10-16T02:59:59Z,ACTIVE,BR-784,42665512,BANK-VCB-001
ACCT-000120,CUST-000101,CUSTOMER,PAYMENT,VND,2025-09-25T03:59:59Z,ACTIVE,BR-826,20750272,BANK-VCB-001
ACCT-000121,CUST-000102,CUSTOMER,SAVINGS,VND,2025-07-25T03:59:59Z,ACTIVE,BR-292,68382236,BANK-ACB-004
ACCT-000122,CUST-000103,CUSTOMER,PAYMENT,VND,2025-03-09T07:59:59Z,ACTIVE,BR-649,19902265,BANK-VPB-005
ACCT-000123,CUST-000104,CUSTOMER,PAYMENT,VND,2025-02-18T00:59:59Z,ACTIVE,BR-509,45419098,BANK-VCB-001
ACCT-000124,CUST-000105,CUSTOMER,PAYMENT,VND,2025-02-26T06:59:59Z,ACTIVE,BR-968,67693983,BANK-ACB-004
ACCT-000125,CUST-000106,CUSTOMER,PAYMENT,VND,2025-09-28T04:59:59Z,ACTIVE,BR-776,24786834,BANK-ACB-004
ACCT-000126,CUST-000107,CUSTOMER,PAYMENT,VND,2022-11-29T23:59:59Z,ACTIVE,BR-793,23773207,BANK-VPB-005
ACCT-000127,CUST-000108,CUSTOMER,PAYMENT,VND,2023-01-19T07:59:59Z,ACTIVE,BR-637,12152784,BANK-MBB-003
ACCT-000128,CUST-000109,CUSTOMER,PAYMENT,VND,2025-09-01T23:59:59Z,ACTIVE,BR-544,73579890,BANK-ACB-004
ACCT-000129,CUST-000110,CUSTOMER,PAYMENT,VND,2025-08-27T08:59:59Z,ACTIVE,BR-806,40936161,BANK-MBB-003
ACCT-000130,CUST-000110,CUSTOMER,SAVINGS,VND,2025-05-23T00:59:59Z,ACTIVE,BR-615,8852508,BANK-MBB-003
ACCT-000131,CUST-000111,CUSTOMER,PAYMENT,VND,2025-05-08T06:59:59Z,ACTIVE,BR-599,51270299,BANK-VPB-005
ACCT-000132,CUST-000112,CUSTOMER,SAVINGS,VND,2024-10-02T03:59:59Z,ACTIVE,BR-490,48163522,BANK-TCB-002
ACCT-000133,CUST-000113,CUSTOMER,PAYMENT,VND,2024-02-27T08:59:59Z,ACTIVE,BR-611,13254205,BANK-ACB-004
ACCT-000134,CUST-000114,CUSTOMER,PAYMENT,VND,2025-08-15T08:59:59Z,ACTIVE,BR-253,132547387,BANK-TCB-002
ACCT-000135,CUST-000114,CUSTOMER,SAVINGS,VND,2025-06-02T03:59:59Z,ACTIVE,BR-874,111700120,BANK-VCB-001
ACCT-000136,CUST-000115,CUSTOMER,PAYMENT,VND,2023-07-23T02:59:59Z,ACTIVE,BR-251,19164657,BANK-VCB-001
ACCT-000137,CUST-000116,CUSTOMER,SAVINGS,VND,2024-12-05T06:59:59Z,ACTIVE,BR-962,13037525,BANK-ACB-004
ACCT-000138,CUST-000117,CUSTOMER,SAVINGS,VND,2025-04-19T06:59:59Z,ACTIVE,BR-810,195991389,BANK-ACB-004
ACCT-000139,CUST-000118,CUSTOMER,PAYMENT,VND,2023-02-15T04:59:59Z,ACTIVE,BR-991,53096265,BANK-TCB-002
ACCT-000140,CUST-000119,CUSTOMER,PAYMENT,VND,2025-05-20T08:59:59Z,ACTIVE,BR-628,41411237,BANK-ACB-004
ACCT-000141,CUST-000120,CUSTOMER,SAVINGS,VND,2021-09-11T01:59:59Z,ACTIVE,BR-450,8030656,BANK-ACB-004
ACCT-000142,CUST-000121,CUSTOMER,PAYMENT,VND,2023-02-05T23:59:59Z,ACTIVE,BR-456,85916784,BANK-VCB-001
ACCT-000143,CUST-000122,CUSTOMER,SAVINGS,VND,2025-08-31T04:59:59Z,ACTIVE,BR-777,34399549,BANK-VPB-005
ACCT-000144,CUST-000122,CUSTOMER,PAYMENT,VND,2023-08-04T03:59:59Z,ACTIVE,BR-446,52771037,BANK-ACB-004
ACCT-000145,CUST-000123,CUSTOMER,PAYMENT,VND,2024-07-13T02:59:59Z,ACTIVE,BR-860,35747399,BANK-MBB-003
ACCT-000146,CUST-000124,CUSTOMER,PAYMENT,VND,2025-09-21T03:59:59Z,ACTIVE,BR-736,16263713,BANK-TCB-002
ACCT-000147,CUST-000125,CUSTOMER,PAYMENT,VND,2024-12-08T08:59:59Z,ACTIVE,BR-511,32922812,BANK-ACB-004
ACCT-000148,CUST-000126,CUSTOMER,SAVINGS,VND,2023-07-02T02:59:59Z,ACTIVE,BR-181,37006663,BANK-VPB-005
ACCT-000149,CUST-000127,CUSTOMER,PAYMENT,VND,2025-10-11T04:59:59Z,ACTIVE,BR-113,21164823,BANK-ACB-004
ACCT-000150,CUST-000128,CUSTOMER,SAVINGS,VND,2025-07-23T09:59:59Z,ACTIVE,BR-825,170453876,BANK-MBB-003
ACCT-000151,CUST-000128,CUSTOMER,PAYMENT,VND,2024-12-01T02:59:59Z,ACTIVE,BR-927,40057486,BANK-VCB-001
ACCT-000152,CUST-000129,CUSTOMER,SAVINGS,VND,2025-05-10T07:59:59Z,ACTIVE,BR-821,5386686,BANK-VCB-001
ACCT-000153,CUST-000130,CUSTOMER,PAYMENT,VND,2024-05-30T00:59:59Z,ACTIVE,BR-803,30601763,BANK-VCB-001
ACCT-000154,CUST-000131,CUSTOMER,PAYMENT,VND,2025-02-10T08:59:59Z,ACTIVE,BR-170,76184682,BANK-TCB-002
ACCT-000155,CUST-000132,CUSTOMER,PAYMENT,VND,2021-10-29T07:59:59Z,ACTIVE,BR-716,74718531,BANK-VPB-005
ACCT-000156,CUST-000133,CUSTOMER,PAYMENT,VND,2025-05-04T01:59:59Z,ACTIVE,BR-899,34483110,BANK-VCB-001
ACCT-000157,CUST-000134,CUSTOMER,PAYMENT,VND,2023-11-02T03:59:59Z,ACTIVE,BR-614,24395576,BANK-VCB-001
ACCT-000158,CUST-000135,CUSTOMER,SAVINGS,VND,2022-09-29T05:59:59Z,ACTIVE,BR-861,78112678,BANK-TCB-002
ACCT-000159,CUST-000135,CUSTOMER,PAYMENT,VND,2021-06-26T01:59:59Z,ACTIVE,BR-818,10163999,BANK-MBB-003
ACCT-000160,CUST-000136,CUSTOMER,PAYMENT,VND,2025-05-22T07:59:59Z,ACTIVE,BR-531,73906168,BANK-VPB-005
ACCT-000161,CUST-000137,CUSTOMER,PAYMENT,VND,2025-06-06T07:59:59Z,ACTIVE,BR-115,82966638,BANK-MBB-003
ACCT-000162,CUST-000138,CUSTOMER,SAVINGS,VND,2022-07-08T07:59:59Z,ACTIVE,BR-415,62427624,BANK-MBB-003
ACCT-000163,CUST-000139,CUSTOMER,PAYMENT,VND,2025-06-26T11:59:59Z,ACTIVE,BR-803,8881555,BANK-VCB-001
ACCT-000164,CUST-000140,CUSTOMER,PAYMENT,VND,2024-05-16T07:59:59Z,ACTIVE,BR-137,76066769,BANK-ACB-004
ACCT-000165,CUST-000141,CUSTOMER,PAYMENT,VND,2024-02-07T01:59:59Z,ACTIVE,BR-501,11348168,BANK-MBB-003
ACCT-000166,CUST-000142,CUSTOMER,SAVINGS,VND,2025-07-02T09:59:59Z,ACTIVE,BR-992,41536109,BANK-ACB-004
ACCT-000167,CUST-000142,CUSTOMER,PAYMENT,VND,2024-09-11T00:59:59Z,ACTIVE,BR-153,34684865,BANK-MBB-003
ACCT-000168,CUST-000143,CUSTOMER,PAYMENT,VND,2025-09-20T05:59:59Z,ACTIVE,BR-956,55485797,BANK-ACB-004
ACCT-000169,CUST-000143,CUSTOMER,SAVINGS,VND,2025-09-12T23:59:59Z,ACTIVE,BR-973,7794417,BANK-VPB-005
ACCT-000170,CUST-000144,CUSTOMER,PAYMENT,VND,2022-05-19T09:59:59Z,ACTIVE,BR-437,66440563,BANK-ACB-004
ACCT-000171,CUST-000145,CUSTOMER,PAYMENT,VND,2024-11-07T11:59:59Z,ACTIVE,BR-697,12236420,BANK-TCB-002
ACCT-000172,CUST-000145,CUSTOMER,PAYMENT,VND,2025-02-13T06:59:59Z,ACTIVE,BR-997,8245523,BANK-TCB-002
ACCT-000173,CUST-000146,CUSTOMER,PAYMENT,VND,2025-04-03T08:59:59Z,ACTIVE,BR-990,30594614,BANK-MBB-003
ACCT-000174,CUST-000146,CUSTOMER,SAVINGS,VND,2025-08-11T11:59:59Z,ACTIVE,BR-706,57023375,BANK-VCB-001
ACCT-000175,CUST-000147,CUSTOMER,PAYMENT,VND,2025-03-13T23:59:59Z,ACTIVE,BR-609,59718704,BANK-MBB-003
ACCT-000176,CUST-000147,CUSTOMER,SAVINGS,VND,2025-08-25T11:59:59Z,ACTIVE,BR-791,28137889,BANK-MBB-003
ACCT-000177,CUST-000148,CUSTOMER,PAYMENT,VND,2023-12-08T02:59:59Z,ACTIVE,BR-932,18517167,BANK-VCB-001
ACCT-000178,CUST-000149,CUSTOMER,PAYMENT,VND,2025-05-09T01:59:59Z,ACTIVE,BR-340,60905881,BANK-TCB-002
ACCT-000179,CUST-000150,CUSTOMER,SAVINGS,VND,2024-05-31T09:59:59Z,ACTIVE,BR-976,2329840,BANK-TCB-002
ACCT-000180,CUST-000151,CUSTOMER,SAVINGS,VND,2025-09-03T08:59:59Z,ACTIVE,BR-200,77107317,BANK-TCB-002
ACCT-000181,CUST-000152,CUSTOMER,PAYMENT,VND,2024-09-19T01:59:59Z,ACTIVE,BR-312,74673766,BANK-VCB-001
ACCT-000182,CUST-000153,CUSTOMER,PAYMENT,VND,2021-11-21T11:59:59Z,ACTIVE,BR-553,29249427,BANK-VPB-005
ACCT-000183,CUST-000154,CUSTOMER,PAYMENT,VND,2022-04-05T11:59:59Z,ACTIVE,BR-665,47934943,BANK-ACB-004
ACCT-000184,CUST-000155,CUSTOMER,PAYMENT,VND,2025-07-01T23:59:59Z,ACTIVE,BR-141,6097927,BANK-VPB-005
ACCT-000185,CUST-000155,CUSTOMER,PAYMENT,VND,2024-07-16T07:59:59Z,ACTIVE,BR-657,6366549,BANK-TCB-002
ACCT-000186,CUST-000156,CUSTOMER,PAYMENT,VND,2021-10-04T04:59:59Z,ACTIVE,BR-194,54991718,BANK-VCB-001
ACCT-000187,CUST-000157,CUSTOMER,PAYMENT,VND,2023-10-21T02:59:59Z,ACTIVE,BR-653,49697340,BANK-ACB-004
