transaction_id,source_account_ref,source_account_type,source_bank_id,destination_account_ref,destination_account_type,destination_bank_id,amount,currency,transaction_type,channel,purpose_code,description,occurred_at,direction,source_ip,device_id,is_cross_border,source_country,destination_country,data_visibility,evidence_source,payment_reference
TXN-00000011,ACCT-SHB-000921,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000739,EXTERNAL,BANK-VCB-EXT,7492571,VND,TRANSFER,MOBILE,SERVICES,OUTBOUND-669698,2025-10-03T00:35:37Z,OUTBOUND,10.191.25.212,DEV-00000777,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-77299126
TXN-00000012,ACCT-SHB-000862,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001028,INTERNAL_SHB,BANK-SHB-001,1615507,VND,TRANSFER,INTERNET,TRANSFER,TRANSFER-521212,2025-10-03T00:38:51Z,INTERNAL,10.133.234.135,DEV-00000729,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-85465789
TXN-00000013,ACCT-SHB-001425,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001842,INTERNAL_SHB,BANK-SHB-001,1332672,VND,TRANSFER,ATM,TRANSFER,TRANSFER-628189,2025-10-03T00:42:06Z,INTERNAL,10.221.126.169,DEV-00001203,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-99762122
TXN-00000014,ACCT-SHB-002245,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002375,INTERNAL_SHB,BANK-SHB-001,2191813,VND,TRANSFER,INTERNET,PAYMENT,PAYMENT-263264,2025-10-03T00:45:20Z,INTERNAL,10.203.6.217,DEV-00001894,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-87847194
TXN-00000015,ACCT-SHB-000554,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000256,EXTERNAL,BANK-VCB-EXT,1641030,VND,TRANSFER,MOBILE,PAYMENT,OUTBOUND-696387,2025-10-03T00:48:34Z,OUTBOUND,10.159.195.146,DEV-00000470,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-24546460
TXN-00000016,EXT-ACC-000468,EXTERNAL,BANK-MBB-EXT,ACCT-SHB-000648,INTERNAL_SHB,BANK-SHB-001,2202934,VND,TRANSFER,MOBILE,PAYMENT,INBOUND-947631,2025-10-03T00:51:49Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-66950412
TXN-00000017,EXT-ACC-000800,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-001652,INTERNAL_SHB,BANK-SHB-001,2490780,VND,TRANSFER,MOBILE,RENT,INBOUND-819544,2025-10-03T00:55:03Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-11913827
TXN-00000018,EXT-ACC-000696,EXTERNAL,BANK-VPB-EXT,ACCT-SHB-001311,INTERNAL_SHB,BANK-SHB-001,1550319,VND,TRANSFER,BRANCH,CASH_OUT,INBOUND-964033,2025-10-03T00:58:18Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-55384442
TXN-00000019,ACCT-SHB-001391,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001386,INTERNAL_SHB,BANK-SHB-001,2094753,VND,TRANSFER,MOBILE,PAYMENT,PAYMENT-609598,2025-10-03T01:01:32Z,INTERNAL,10.69.161.199,DEV-00001173,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-10897685
TXN-00000020,ACCT-SHB-001072,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001729,INTERNAL_SHB,BANK-SHB-001,1637300,VND,TRANSFER,BRANCH,TRANSFER,TRANSFER-691749,2025-10-03T01:04:46Z,INTERNAL,10.3.165.64,DEV-00000905,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-70381204
TXN-00000021,EXT-ACC-000210,EXTERNAL,BANK-TCB-EXT,ACCT-SHB-002073,INTERNAL_SHB,BANK-SHB-001,1880803,VND,TRANSFER,MOBILE,PAYMENT,INBOUND-560699,2025-10-03T01:08:01Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-58445807
TXN-00000022,ACCT-SHB-002418,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000583,INTERNAL_SHB,BANK-SHB-001,17058459,VND,TRANSFER,INTERNET,SERVICES,SERVICES-958962,2025-10-03T01:11:15Z,INTERNAL,10.154.217.194,DEV-00002038,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-77890284
TXN-00000023,ACCT-SHB-000857,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000180,INTERNAL_SHB,BANK-SHB-001,464179,VND,TRANSFER,MOBILE,TRANSFER,TRANSFER-772707,2025-10-03T01:14:30Z,INTERNAL,10.196.95.30,DEV-00000724,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-58761984
TXN-00000024,ACCT-SHB-000225,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000196,EXTERNAL,BANK-VCB-EXT,1395495,VND,TRANSFER,BRANCH,TRANSFER,OUTBOUND-615161,2025-10-03T01:17:44Z,OUTBOUND,10.224.63.111,DEV-00000191,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-40570059
TXN-00000025,ACCT-SHB-002342,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000533,INTERNAL_SHB,BANK-SHB-001,2625466,VND,TRANSFER,MOBILE,RENT,RENT-847028,2025-10-03T01:20:58Z,INTERNAL,10.191.24.249,DEV-00001974,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-93252916
TXN-00000026,ACCT-SHB-001131,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002025,INTERNAL_SHB,BANK-SHB-001,7192511,VND,TRANSFER,INTERNET,INVOICE,INVOICE-202187,2025-10-03T01:24:13Z,INTERNAL,10.114.14.40,DEV-00000952,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-30638692
TXN-00000027,ACCT-SHB-002419,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000877,INTERNAL_SHB,BANK-SHB-001,28237012,VND,TRANSFER,API,PAYROLL,PAYROLL-741928,2025-10-03T01:27:27Z,INTERNAL,10.154.217.194,DEV-00002038,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-91120587
TXN-00000028,ACCT-SHB-000893,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001984,INTERNAL_SHB,BANK-SHB-001,1890468,VND,TRANSFER,ATM,UTILITIES,UTILITIES-729522,2025-10-03T01:30:42Z,INTERNAL,10.8.37.7,DEV-00000755,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-70797094
TXN-00000029,EXT-ACC-000497,EXTERNAL,BANK-VCB-EXT,ACCT-SHB-000893,INTERNAL_SHB,BANK-SHB-001,1594772,VND,TRANSFER,MOBILE,UTILITIES,INBOUND-664315,2025-10-03T01:33:56Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-83396891
TXN-00000030,ACCT-SHB-001653,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000969,INTERNAL_SHB,BANK-SHB-001,1812689,VND,TRANSFER,BRANCH,CASH_OUT,CASH_OUT-353265,2025-10-03T01:37:10Z,INTERNAL,10.202.223.37,DEV-00001403,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-30059346
TXN-00000031,ACCT-SHB-000510,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000623,EXTERNAL,BANK-VPB-EXT,1840179,VND,TRANSFER,INTERNET,RENT,OUTBOUND-862957,2025-10-03T01:40:25Z,OUTBOUND,10.19.44.215,DEV-00000433,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-61005112
TXN-00000032,ACCT-SHB-000558,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001547,INTERNAL_SHB,BANK-SHB-001,1370338,VND,TRANSFER,MOBILE,UTILITIES,UTILITIES-875781,2025-10-03T01:43:39Z,INTERNAL,10.177.117.237,DEV-00000474,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-27874683
TXN-00000033,ACCT-SHB-000308,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000265,EXTERNAL,BANK-MBB-EXT,1583902,VND,TRANSFER,INTERNET,RENT,OUTBOUND-626489,2025-10-03T01:46:54Z,OUTBOUND,10.226.175.164,DEV-00000263,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-41547183
TXN-00000034,ACCT-SHB-001501,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000948,EXTERNAL,BANK-VCB-EXT,7272045,VND,TRANSFER,INTERNET,SERVICES,OUTBOUND-382425,2025-10-03T01:50:08Z,OUTBOUND,10.248.15.208,DEV-00001272,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-81310134
TXN-00000035,ACCT-SHB-002224,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000852,INTERNAL_SHB,BANK-SHB-001,2361135,VND,TRANSFER,MOBILE,RENT,RENT-319259,2025-10-03T01:53:22Z,INTERNAL,10.119.182.54,DEV-00001877,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-26756533
TXN-00000036,EXT-ACC-000186,EXTERNAL,BANK-VCB-EXT,ACCT-SHB-001766,INTERNAL_SHB,BANK-SHB-001,243983,VND,TRANSFER,MOBILE,CASH_OUT,INBOUND-686104,2025-10-03T01:56:37Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-95953469
TXN-00000037,ACCT-SHB-000607,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000525,EXTERNAL,BANK-ACB-EXT,231431,VND,TRANSFER,MOBILE,CASH_OUT,OUTBOUND-266493,2025-10-03T01:59:51Z,OUTBOUND,10.175.164.69,DEV-00000516,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-25135632
TXN-00000038,ACCT-SHB-000727,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000287,INTERNAL_SHB,BANK-SHB-001,2351527,VND,TRANSFER,MOBILE,TRANSFER,TRANSFER-334596,2025-10-03T02:03:06Z,INTERNAL,10.109.202.247,DEV-00000620,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-10031365
TXN-00000039,ACCT-SHB-000884,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000530,EXTERNAL,BANK-VPB-EXT,1104368,VND,TRANSFER,ATM,PAYMENT,OUTBOUND-193386,2025-10-03T02:06:20Z,OUTBOUND,10.67.235.218,DEV-00000747,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-51490114
TXN-00000040,EXT-ACC-000903,EXTERNAL,BANK-TCB-EXT,ACCT-SHB-000975,INTERNAL_SHB,BANK-SHB-001,2327519,VND,TRANSFER,MOBILE,TRANSFER,INBOUND-730342,2025-10-03T02:09:34Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-25720294
TXN-00000041,ACCT-SHB-000911,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000780,EXTERNAL,BANK-ACB-EXT,2548685,VND,TRANSFER,MOBILE,PAYMENT,OUTBOUND-436729,2025-10-03T02:12:49Z,OUTBOUND,10.198.180.42,DEV-00000770,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-20135745
TXN-00000042,EXT-ACC-000975,EXTERNAL,BANK-VCB-EXT,ACCT-SHB-002318,INTERNAL_SHB,BANK-SHB-001,14746634,VND,TRANSFER,MOBILE,INVOICE,INBOUND-261584,2025-10-03T02:16:03Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-83148870
TXN-00000043,ACCT-SHB-002048,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000303,EXTERNAL,BANK-VCB-EXT,538016,VND,TRANSFER,MOBILE,CASH_OUT,OUTBOUND-311461,2025-10-03T02:19:17Z,OUTBOUND,10.21.88.238,DEV-00001733,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-72638670
TXN-00000044,ACCT-SHB-000004,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000085,EXTERNAL,BANK-VPB-EXT,1810279,VND,TRANSFER,MOBILE,TRANSFER,OUTBOUND-535934,2025-10-03T02:22:32Z,OUTBOUND,10.35.115.1,DEV-00000003,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-24281484
TXN-00000045,EXT-ACC-000768,EXTERNAL,BANK-MBB-EXT,ACCT-SHB-000333,INTERNAL_SHB,BANK-SHB-001,412409,VND,TRANSFER,MOBILE,TRANSFER,INBOUND-924915,2025-10-03T02:25:46Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-15806891
TXN-00000046,ACCT-SHB-001588,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001027,INTERNAL_SHB,BANK-SHB-001,1937447,VND,TRANSFER,INTERNET,RENT,RENT-282829,2025-10-03T02:29:01Z,INTERNAL,10.18.246.216,DEV-00001347,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-73353351
TXN-00000047,ACCT-SHB-001552,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000080,INTERNAL_SHB,BANK-SHB-001,4187214,VND,TRANSFER,ATM,TRANSFER,TRANSFER-452225,2025-10-03T02:32:15Z,INTERNAL,10.251.187.234,DEV-00001314,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-22469016
TXN-00000048,EXT-ACC-000443,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-000831,INTERNAL_SHB,BANK-SHB-001,1524582,VND,TRANSFER,MOBILE,UTILITIES,INBOUND-164971,2025-10-03T02:35:29Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-71524179
TXN-00000049,ACCT-SHB-002229,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000391,EXTERNAL,BANK-MBB-EXT,2572386,VND,TRANSFER,MOBILE,TRANSFER,OUTBOUND-770264,2025-10-03T02:38:44Z,OUTBOUND,10.223.103.138,DEV-00001881,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-22572280
TXN-00000050,ACCT-SHB-000998,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000585,EXTERNAL,BANK-VCB-EXT,1704897,VND,TRANSFER,INTERNET,PAYMENT,OUTBOUND-937116,2025-10-03T02:41:58Z,OUTBOUND,10.142.165.195,DEV-00000843,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-35854779
TXN-00000051,ACCT-SHB-000412,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002092,INTERNAL_SHB,BANK-SHB-001,3562188,VND,TRANSFER,INTERNET,SERVICES,SERVICES-771090,2025-10-03T02:45:13Z,INTERNAL,10.74.20.95,DEV-00000347,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-30200203
TXN-00000052,ACCT-SHB-000905,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001165,INTERNAL_SHB,BANK-SHB-001,2115048,VND,TRANSFER,MOBILE,PAYMENT,PAYMENT-672111,2025-10-03T02:48:27Z,INTERNAL,10.176.111.35,DEV-00000765,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-12542095
TXN-00000053,EXT-ACC-000943,EXTERNAL,BANK-TCB-EXT,ACCT-SHB-000261,INTERNAL_SHB,BANK-SHB-001,5791226,VND,TRANSFER,INTERNET,SERVICES,INBOUND-110050,2025-10-03T02:51:41Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-81825525
TXN-00000054,EXT-ACC-000348,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-001623,INTERNAL_SHB,BANK-SHB-001,1931589,VND,TRANSFER,MOBILE,PAYMENT,INBOUND-372449,2025-10-03T02:54:56Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-88871137
TXN-00000055,EXT-ACC-000054,EXTERNAL,BANK-TCB-EXT,ACCT-SHB-002439,INTERNAL_SHB,BANK-SHB-001,15839646,VND,TRANSFER,INTERNET,PAYROLL,INBOUND-776491,2025-10-03T02:58:10Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-80569275
TXN-00000056,EXT-ACC-000078,EXTERNAL,BANK-MBB-EXT,ACCT-SHB-002313,INTERNAL_SHB,BANK-SHB-001,1188278,VND,TRANSFER,MOBILE,UTILITIES,INBOUND-907638,2025-10-03T03:01:25Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-62361022
TXN-00000057,EXT-ACC-000298,EXTERNAL,BANK-TCB-EXT,ACCT-SHB-000222,INTERNAL_SHB,BANK-SHB-001,145682,VND,TRANSFER,MOBILE,CASH_OUT,INBOUND-731081,2025-10-03T03:04:39Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-45927152
TXN-00000058,EXT-ACC-000322,EXTERNAL,BANK-FOREIGN-JP-DEMO,ACCT-SHB-001092,INTERNAL_SHB,BANK-SHB-001,1282897,VND,FX,SWIFT,FX,INBOUND-696711,2025-10-03T03:07:53Z,INBOUND,,,true,JP,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-28478594
TXN-00000059,ACCT-SHB-001609,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001558,INTERNAL_SHB,BANK-SHB-001,209415,VND,TRANSFER,MOBILE,CASH_OUT,CASH_OUT-831346,2025-10-03T03:11:08Z,INTERNAL,10.75.207.92,DEV-00001366,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-54591241
TXN-00000060,ACCT-SHB-001080,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001787,INTERNAL_SHB,BANK-SHB-001,2769435,VND,TRANSFER,MOBILE,RENT,RENT-819487,2025-10-03T03:14:22Z,INTERNAL,10.23.61.218,DEV-00000911,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-47239764
TXN-00000061,ACCT-SHB-000707,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000886,EXTERNAL,BANK-ACB-EXT,312451,VND,TRANSFER,MOBILE,PAYMENT,OUTBOUND-688819,2025-10-03T03:17:37Z,OUTBOUND,10.223.138.115,DEV-00000601,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-88474375
TXN-00000062,ACCT-SHB-000811,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000028,EXTERNAL,BANK-VCB-EXT,5419633,VND,TRANSFER,INTERNET,SERVICES,OUTBOUND-830970,2025-10-03T03:20:51Z,OUTBOUND,10.44.219.69,DEV-00000685,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-35621474
TXN-00000063,ACCT-SHB-000443,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000107,EXTERNAL,BANK-TCB-EXT,7227150,VND,TRANSFER,INTERNET,TRANSFER,OUTBOUND-999205,2025-10-03T03:24:05Z,OUTBOUND,10.4.184.183,DEV-00000373,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-40222881
TXN-00000064,EXT-ACC-000965,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-002500,INTERNAL_SHB,BANK-SHB-001,1750515,VND,TRANSFER,INTERNET,TRANSFER,INBOUND-128637,2025-10-03T03:27:20Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-38402284
TXN-00000065,ACCT-SHB-000865,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000519,INTERNAL_SHB,BANK-SHB-001,2248967,VND,TRANSFER,ATM,PAYMENT,PAYMENT-188899,2025-10-03T03:30:34Z,INTERNAL,10.171.171.233,DEV-00000732,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-52704277
TXN-00000066,ACCT-SHB-001976,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000952,EXTERNAL,BANK-FOREIGN-KR-DEMO,1810639,VND,FX,SWIFT,FX,OUTBOUND-938447,2025-10-03T03:33:49Z,OUTBOUND,10.25.134.113,DEV-00001672,true,VN,KR,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-51474077
TXN-00000067,EXT-ACC-000715,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-000546,INTERNAL_SHB,BANK-SHB-001,14741870,VND,TRANSFER,INTERNET,TRANSFER,INBOUND-456515,2025-10-03T03:37:03Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-51146686
TXN-00000068,ACCT-SHB-001513,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002357,INTERNAL_SHB,BANK-SHB-001,1622031,VND,TRANSFER,BRANCH,UTILITIES,UTILITIES-192754,2025-10-03T03:40:17Z,INTERNAL,10.193.254.18,DEV-00001283,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-60295644
TXN-00000069,ACCT-SHB-001039,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002123,INTERNAL_SHB,BANK-SHB-001,2718243,VND,TRANSFER,MOBILE,SERVICES,SERVICES-788189,2025-10-03T03:43:32Z,INTERNAL,10.136.147.192,DEV-00000876,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-83547639
TXN-00000070,ACCT-SHB-000650,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002274,INTERNAL_SHB,BANK-SHB-001,1839019,VND,TRANSFER,MOBILE,TRANSFER,TRANSFER-120073,2025-10-03T03:46:46Z,INTERNAL,10.10.184.220,DEV-00000551,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-69173628
TXN-00000071,ACCT-SHB-002136,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002346,INTERNAL_SHB,BANK-SHB-001,1224384,VND,TRANSFER,BRANCH,UTILITIES,UTILITIES-793451,2025-10-03T03:50:01Z,INTERNAL,10.113.0.29,DEV-00001805,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-26629767
