ownership_id,owner_entity_id,owner_entity_type,owned_company_id,ownership_percentage,effective_from,effective_to,source_document_id,verified
OWN-000079,CUST-001725,CUSTOMER,COMP-000042,24.32,2011-05-12,,DOC-002083,true
OWN-000080,CUST-001681,CUSTOMER,COMP-000042,24.23,2011-05-12,,DOC-002083,true
OWN-000084,CUST-001083,CUSTOMER,COMP-000045,100.0,2025-10-16,,DOC-002089,true
OWN-000088,CUST-000548,CUSTOMER,COMP-000047,60.07,2010-03-04,,DOC-002093,true
OWN-000089,CUST-000117,CUSTOMER,COMP-000047,7.03,2010-03-04,,DOC-002093,true
OWN-000090,CUST-001032,CUSTOMER,COMP-000047,32.9,2010-03-04,,DOC-002093,true
OWN-000091,CUST-000977,CUSTOMER,COMP-000048,36.02,2013-06-09,,DOC-002095,true
OWN-000092,CUST-000162,CUSTOMER,COMP-000048,63.98,2013-06-09,,DOC-002095,true
OWN-000093,CUST-001698,CUSTOMER,COMP-000049,20.91,2018-08-24,,DOC-002097,true
OWN-000094,CUST-001798,CUSTOMER,COMP-000049,79.09,2018-08-24,,DOC-002097,true
OWN-000096,COMP-000026,COMPANY,COMP-000008,76.98,2018-03-11,,DOC-002016,true
OWN-000097,CUST-001057,CUSTOMER,COMP-000008,23.02,2018-03-11,,DOC-002016,true
OWN-000098,COMP-000035,COMPANY,COMP-000012,77.72,2011-05-07,,DOC-002024,true
OWN-000099,CUST-001821,CUSTOMER,COMP-000012,22.28,2011-05-07,,DOC-002024,true
OWN-000100,COMP-000024,COMPANY,COMP-000016,63.27,2016-06-03,,DOC-002032,true
OWN-000101,CUST-000421,CUSTOMER,COMP-000016,36.73,2016-06-03,,DOC-002032,true
OWN-000102,COMP-000037,COMPANY,COMP-000018,69.37,2020-08-01,,DOC-002036,true
OWN-000103,CUST-000356,CUSTOMER,COMP-000018,30.63,2020-08-01,,DOC-002036,true
OWN-000106,COMP-000027,COMPANY,COMP-000030,76.61,2021-12-09,,DOC-002059,true
OWN-000107,CUST-001852,CUSTOMER,COMP-000030,23.39,2021-12-09,,DOC-002059,true
OWN-000108,COMP-000049,COMPANY,COMP-000033,54.74,2021-12-20,,DOC-002065,true
OWN-000109,CUST-000795,CUSTOMER,COMP-000033,45.26,2021-12-20,,DOC-002065,true
OWN-000110,COMP-000009,COMPANY,COMP-000037,79.76,2018-04-20,,DOC-002073,true
OWN-000111,CUST-000476,CUSTOMER,COMP-000037,20.24,2018-04-20,,DOC-002073,true
OWN-000114,COMP-000042,COMPANY,COMP-000046,51.52,2010-07-13,,DOC-002091,true
OWN-000115,CUST-000246,CUSTOMER,COMP-000046,48.48,2010-07-13,,DOC-002091,true
OWN-000116,COMP-000046,COMPANY,COMP-000050,53.0,2022-01-14,,DOC-002099,true
OWN-000117,CUST-001516,CUSTOMER,COMP-000050,47.0,2022-01-14,,DOC-002099,true
OWN-000118,COMP-000034,COMPANY,COMP-000036,100.0,2025-11-08,,,false
OWN-000119,CUST-001368,CUSTOMER,COMP-000044,100.0,2017-10-10,,DOC-002087,true
OWN-000120,CUST-001745,CUSTOMER,COMP-000040,100.0,2019-12-13,,DOC-002079,true
OWN-000121,CUST-000910,CUSTOMER,COMP-000024,55.04,2016-02-01,,DOC-002048,true
OWN-000122,CUST-000522,CUSTOMER,COMP-000024,36.55,2016-02-01,,DOC-002048,true
OWN-000123,CUST-001260,CUSTOMER,COMP-000024,8.41,2016-02-01,,DOC-002048,true
OWN-000124,COMP-000043,COMPANY,COMP-000006,100.0,2025-10-22,,,false
