relationship_id,source_entity_id,target_entity_id,relationship_type,valid_from,valid_to,source,confidence
REL-000123,CUST-001034,COMP-000047,SHAREHOLDER,2022-10-25,,kyc_file,0.9
REL-000124,CUST-001939,COMP-000001,LEGAL_REPRESENTATIVE,2017-05-01,,kyc_file,0.99
REL-000125,CUST-000789,COMP-000002,LEGAL_REPRESENTATIVE,2012-12-11,,kyc_file,0.99
REL-000126,CUST-000951,COMP-000003,LEGAL_REPRESENTATIVE,2023-11-27,,kyc_file,0.99
REL-000127,CUST-000858,COMP-000004,LEGAL_REPRESENTATIVE,2022-06-28,,kyc_file,0.99
REL-000128,CUST-000521,COMP-000005,LEGAL_REPRESENTATIVE,2014-10-01,,kyc_file,0.99
REL-000129,CUST-001845,COMP-000006,LEGAL_REPRESENTATIVE,2017-07-24,,kyc_file,0.99
REL-000130,CUST-000100,COMP-000007,LEGAL_REPRESENTATIVE,2010-02-19,,kyc_file,0.99
REL-000131,CUST-001690,COMP-000008,LEGAL_REPRESENTATIVE,2025-10-20,,kyc_file,0.99
REL-000132,CUST-001428,COMP-000009,LEGAL_REPRESENTATIVE,2015-04-11,,kyc_file,0.99
REL-000133,CUST-000957,COMP-000010,LEGAL_REPRESENTATIVE,2011-02-13,,kyc_file,0.99
REL-000134,CUST-000180,COMP-000011,LEGAL_REPRESENTATIVE,2021-06-04,,kyc_file,0.99
REL-000135,CUST-000842,COMP-000012,LEGAL_REPRESENTATIVE,2016-02-04,,kyc_file,0.99
REL-000136,CUST-000474,COMP-000013,LEGAL_REPRESENTATIVE,2016-02-13,,kyc_file,0.99
REL-000137,CUST-000864,COMP-000014,LEGAL_REPRESENTATIVE,2025-10-17,,kyc_file,0.99
REL-000138,CUST-000183,COMP-000015,LEGAL_REPRESENTATIVE,2023-04-18,,kyc_file,0.99
REL-000139,CUST-000722,COMP-000016,LEGAL_REPRESENTATIVE,2014-03-18,,kyc_file,0.99
REL-000140,CUST-000930,COMP-000017,LEGAL_REPRESENTATIVE,2011-11-26,,kyc_file,0.99
REL-000141,CUST-000826,COMP-000018,LEGAL_REPRESENTATIVE,2011-05-22,,kyc_file,0.99
REL-000142,CUST-000055,COMP-000019,LEGAL_REPRESENTATIVE,2020-10-20,,kyc_file,0.99
REL-000143,CUST-000027,COMP-000020,LEGAL_REPRESENTATIVE,2016-04-20,,kyc_file,0.99
REL-000144,CUST-000552,COMP-000021,LEGAL_REPRESENTATIVE,2010-06-14,,kyc_file,0.99
REL-000145,CUST-000162,COMP-000022,LEGAL_REPRESENTATIVE,2025-11-30,,kyc_file,0.99
REL-000146,CUST-001906,COMP-000023,LEGAL_REPRESENTATIVE,2023-11-01,,kyc_file,0.99
REL-000147,CUST-000518,COMP-000024,LEGAL_REPRESENTATIVE,2025-11-21,,kyc_file,0.99
REL-000148,CUST-000466,COMP-000025,LEGAL_REPRESENTATIVE,2021-02-13,,kyc_file,0.99
REL-000149,CUST-001296,COMP-000026,LEGAL_REPRESENTATIVE,2013-06-25,,kyc_file,0.99
REL-000150,CUST-001271,COMP-000027,LEGAL_REPRESENTATIVE,2019-01-15,,kyc_file,0.99
REL-000151,CUST-000579,COMP-000028,LEGAL_REPRESENTATIVE,2013-01-10,,kyc_file,0.99
REL-000152,CUST-000409,COMP-000029,LEGAL_REPRESENTATIVE,2025-10-19,,kyc_file,0.99
REL-000153,CUST-001683,COMP-000030,LEGAL_REPRESENTATIVE,2010-08-09,,kyc_file,0.99
REL-000154,CUST-001649,COMP-000031,LEGAL_REPRESENTATIVE,2015-06-19,,kyc_file,0.99
REL-000155,CUST-001893,COMP-000032,LEGAL_REPRESENTATIVE,2011-09-17,,kyc_file,0.99
REL-000156,CUST-001205,COMP-000033,LEGAL_REPRESENTATIVE,2010-05-05,,kyc_file,0.99
REL-000157,CUST-001280,COMP-000034,LEGAL_REPRESENTATIVE,2022-11-11,,kyc_file,0.99
REL-000158,CUST-001547,COMP-000035,LEGAL_REPRESENTATIVE,2025-11-11,,kyc_file,0.99
REL-000159,CUST-001228,COMP-000036,LEGAL_REPRESENTATIVE,2023-05-10,,kyc_file,0.99
REL-000160,CUST-001294,COMP-000037,LEGAL_REPRESENTATIVE,2018-04-01,,kyc_file,0.99
REL-000161,CUST-001552,COMP-000038,LEGAL_REPRESENTATIVE,2015-10-21,,kyc_file,0.99
REL-000162,CUST-000820,COMP-000039,LEGAL_REPRESENTATIVE,2020-03-04,,kyc_file,0.99
REL-000163,CUST-001861,COMP-000040,LEGAL_REPRESENTATIVE,2025-11-24,,kyc_file,0.99
REL-000164,CUST-001558,COMP-000041,LEGAL_REPRESENTATIVE,2025-10-31,,kyc_file,0.99
REL-000165,CUST-001704,COMP-000042,LEGAL_REPRESENTATIVE,2016-07-25,,kyc_file,0.99
REL-000166,CUST-001782,COMP-000043,LEGAL_REPRESENTATIVE,2016-12-08,,kyc_file,0.99
REL-000167,CUST-001417,COMP-000044,LEGAL_REPRESENTATIVE,2014-10-26,,kyc_file,0.99
REL-000168,CUST-000440,COMP-000045,LEGAL_REPRESENTATIVE,2020-05-04,,kyc_file,0.99
REL-000169,CUST-001158,COMP-000046,LEGAL_REPRESENTATIVE,2010-10-15,,kyc_file,0.99
REL-000170,CUST-001186,COMP-000047,LEGAL_REPRESENTATIVE,2022-10-25,,kyc_file,0.99
REL-000171,CUST-001819,COMP-000048,LEGAL_REPRESENTATIVE,2016-04-01,,kyc_file,0.99
REL-000172,CUST-000998,COMP-000049,LEGAL_REPRESENTATIVE,2025-11-28,,kyc_file,0.99
REL-000173,CUST-001837,COMP-000050,LEGAL_REPRESENTATIVE,2011-01-20,,kyc_file,0.99
REL-000174,CUST-001722,CUST-001315,BUSINESS_ASSOCIATE,2025-05-24,,entity_resolution,0.81
REL-000175,CUST-000303,CUST-001490,SHARED_ADDRESS,2020-12-31,,entity_resolution,0.61
REL-000176,CUST-001496,CUST-000825,FAMILY,2023-03-07,,entity_resolution,0.56
REL-000177,CUST-001873,CUST-000723,SHARED_ADDRESS,2023-03-26,,entity_resolution,0.82
REL-000178,CUST-001250,CUST-001799,SHARED_ADDRESS,2024-06-12,,entity_resolution,0.77
REL-000179,CUST-000252,CUST-001730,SHARED_ADDRESS,2023-08-21,,entity_resolution,0.57
REL-000180,CUST-000389,CUST-001601,FAMILY,2021-03-10,,entity_resolution,0.77
REL-000181,CUST-000060,CUST-001692,FAMILY,2025-07-22,,entity_resolution,0.52
REL-000182,CUST-001461,CUST-001254,SHARED_ADDRESS,2023-09-28,,entity_resolution,0.57
REL-000183,CUST-001545,CUST-001381,BUSINESS_ASSOCIATE,2023-08-15,,entity_resolution,0.66
REL-000184,CUST-001830,CUST-001385,FAMILY,2025-06-26,,entity_resolution,0.89
REL-000185,CUST-000598,CUST-001854,FAMILY,2021-07-06,,entity_resolution,0.84
REL-000186,CUST-001489,CUST-000194,BUSINESS_ASSOCIATE,2023-05-28,,entity_resolution,0.58
REL-000187,CUST-000103,CUST-001043,FAMILY,2020-09-15,,entity_resolution,0.82
REL-000188,CUST-000114,CUST-000329,BUSINESS_ASSOCIATE,2020-10-19,,entity_resolution,0.84
REL-000189,CUST-000148,CUST-000956,BUSINESS_ASSOCIATE,2025-03-01,,entity_resolution,0.72
REL-000190,CUST-000208,CUST-000346,SHARED_ADDRESS,2024-05-05,,entity_resolution,0.87
REL-000191,CUST-001208,CUST-000512,FAMILY,2024-08-10,,entity_resolution,0.55
REL-000192,CUST-000565,CUST-001920,BUSINESS_ASSOCIATE,2022-02-07,,entity_resolution,0.6
REL-000193,CUST-001355,CUST-000299,SHARED_ADDRESS,2025-07-12,,entity_resolution,0.58
REL-000194,CUST-001352,CUST-000175,SHARED_ADDRESS,2023-06-22,,entity_resolution,0.69
REL-000195,CUST-001023,CUST-001059,FAMILY,2025-06-28,,entity_resolution,0.87
REL-000196,CUST-000364,CUST-001638,FAMILY,2021-05-26,,entity_resolution,0.79
REL-000197,CUST-001953,CUST-000328,BUSINESS_ASSOCIATE,2020-10-28,,entity_resolution,0.67
REL-000198,CUST-001335,CUST-000885,BUSINESS_ASSOCIATE,2023-07-11,,entity_resolution,0.68
REL-000199,CUST-000045,CUST-000979,BUSINESS_ASSOCIATE,2025-01-19,,entity_resolution,0.56
REL-000200,CUST-001412,CUST-000522,FAMILY,2024-11-28,,entity_resolution,0.66
REL-000201,CUST-001772,CUST-000642,FAMILY,2023-05-02,,entity_resolution,0.77
REL-000202,CUST-000132,CUST-000582,FAMILY,2024-06-14,,entity_resolution,0.53
REL-000203,CUST-000047,CUST-000773,SHARED_ADDRESS,2024-01-22,,entity_resolution,0.55
REL-000204,CUST-001746,CUST-000540,FAMILY,2024-06-28,,entity_resolution,0.89
REL-000205,CUST-001532,CUST-000799,BUSINESS_ASSOCIATE,2023-10-13,,entity_resolution,0.63
REL-000206,CUST-001946,CUST-001031,FAMILY,2023-01-19,,entity_resolution,0.5
REL-000207,CUST-001399,CUST-001173,BUSINESS_ASSOCIATE,2021-09-03,,entity_resolution,0.8
REL-000208,CUST-001419,CUST-000261,BUSINESS_ASSOCIATE,2025-04-14,,entity_resolution,0.6
REL-000209,CUST-000255,CUST-000769,FAMILY,2021-11-16,,entity_resolution,0.89
REL-000210,CUST-000630,CUST-001668,BUSINESS_ASSOCIATE,2021-07-17,,entity_resolution,0.63
REL-000211,CUST-001604,CUST-000952,FAMILY,2021-05-22,,entity_resolution,0.75
REL-000212,CUST-000447,CUST-001527,SHARED_ADDRESS,2024-08-04,,entity_resolution,0.77
REL-000213,CUST-001246,CUST-001659,SHARED_ADDRESS,2020-11-28,,entity_resolution,0.83
REL-000214,CUST-001647,CUST-001943,FAMILY,2023-09-21,,entity_resolution,0.75
REL-000215,CUST-000348,CUST-001542,SHARED_ADDRESS,2021-10-10,,entity_resolution,0.84
REL-000216,CUST-001458,CUST-000780,BUSINESS_ASSOCIATE,2025-08-24,,entity_resolution,0.68
REL-000217,CUST-000051,CUST-001224,SHARED_ADDRESS,2023-02-08,,entity_resolution,0.73
REL-000218,CUST-000760,CUST-000418,BUSINESS_ASSOCIATE,2024-02-03,,entity_resolution,0.89
REL-000219,CUST-000726,CUST-001420,FAMILY,2025-07-31,,entity_resolution,0.7
REL-000220,CUST-000250,CUST-000394,SHARED_ADDRESS,2021-10-05,,entity_resolution,0.63
REL-000221,CUST-001093,CUST-001749,FAMILY,2022-05-09,,entity_resolution,0.77
REL-000222,CUST-000248,CUST-000765,BUSINESS_ASSOCIATE,2022-10-16,,entity_resolution,0.87
REL-000223,CUST-001896,CUST-000718,FAMILY,2020-12-13,,entity_resolution,0.61
REL-000224,CUST-001181,CUST-001268,FAMILY,2020-07-10,,entity_resolution,0.84
REL-000225,CUST-001793,CUST-001540,SHARED_ADDRESS,2024-01-21,,entity_resolution,0.69
REL-000226,CUST-000418,CUST-000027,FAMILY,2021-12-05,,entity_resolution,0.66
REL-000227,CUST-001791,CUST-001139,SHARED_ADDRESS,2020-06-23,,entity_resolution,0.88
REL-000228,CUST-000633,CUST-001578,FAMILY,2023-04-22,,entity_resolution,0.54
REL-000229,CUST-000372,CUST-001817,FAMILY,2025-05-25,,entity_resolution,0.76
REL-000230,CUST-000789,CUST-000252,FAMILY,2022-04-22,,entity_resolution,0.74
REL-000231,CUST-001431,CUST-001309,FAMILY,2020-05-05,,entity_resolution,0.67
REL-000232,CUST-000243,CUST-000100,SHARED_ADDRESS,2023-12-24,,entity_resolution,0.81
REL-000233,CUST-001486,CUST-001171,BUSINESS_ASSOCIATE,2025-04-09,,entity_resolution,0.69
REL-000234,CUST-001926,CUST-000857,SHARED_ADDRESS,2021-09-29,,entity_resolution,0.74
REL-000235,CUST-000899,CUST-001048,FAMILY,2023-12-21,,entity_resolution,0.58
REL-000236,CUST-001171,CUST-001603,FAMILY,2025-02-16,,entity_resolution,0.54
REL-000237,CUST-001637,CUST-000477,SHARED_ADDRESS,2023-10-07,,entity_resolution,0.74
REL-000238,CUST-000441,CUST-001425,BUSINESS_ASSOCIATE,2024-11-15,,entity_resolution,0.72
REL-000239,CUST-000751,CUST-000744,BUSINESS_ASSOCIATE,2020-11-23,,entity_resolution,0.62
REL-000240,CUST-000061,CUST-001110,BUSINESS_ASSOCIATE,2024-07-21,,entity_resolution,0.68
REL-000241,CUST-001819,CUST-000999,FAMILY,2021-05-23,,entity_resolution,0.7
REL-000242,CUST-000220,CUST-000655,BUSINESS_ASSOCIATE,2021-05-06,,entity_resolution,0.66
REL-000243,CUST-001069,CUST-001179,SHARED_ADDRESS,2024-03-08,,entity_resolution,0.65
REL-000244,CUST-000483,CUST-000313,FAMILY,2025-06-20,,entity_resolution,0.79
REL-000245,CUST-001596,CUST-000804,SHARED_ADDRESS,2024-02-19,,entity_resolution,0.65
REL-000246,CUST-000219,CUST-001659,SHARED_ADDRESS,2021-05-22,,entity_resolution,0.88
REL-000247,CUST-000207,CUST-000667,SHARED_ADDRESS,2022-01-01,,entity_resolution,0.74
REL-000248,CUST-000862,CUST-000004,SHARED_ADDRESS,2023-07-14,,entity_resolution,0.75
REL-000249,CUST-001441,CUST-001995,SHARED_ADDRESS,2020-05-08,,entity_resolution,0.75
REL-000250,CUST-000795,CUST-000415,BUSINESS_ASSOCIATE,2023-04-12,,entity_resolution,0.58
REL-000251,CUST-001227,CUST-000307,BUSINESS_ASSOCIATE,2020-12-11,,entity_resolution,0.56
REL-000252,CUST-001665,CUST-000580,SHARED_ADDRESS,2024-11-25,,entity_resolution,0.55
REL-000253,CUST-000041,CUST-000229,BUSINESS_ASSOCIATE,2020-08-23,,entity_resolution,0.56
REL-000254,CUST-001277,COMP-000008,UBO,2025-10-20,,kyc_file,0.95
REL-000255,CUST-001321,COMP-000008,SHAREHOLDER,2025-10-20,,kyc_file,0.95
REL-000256,CUST-000750,COMP-000008,UBO,2025-10-20,,kyc_file,0.95
REL-000257,CUST-000866,COMP-000031,UBO,2015-06-19,,kyc_file,0.95
REL-000258,CUST-000855,COMP-000031,UBO,2015-06-19,,kyc_file,0.95
REL-000259,CUST-000883,COMP-000019,UBO,2020-10-20,,kyc_file,0.95
REL-000260,COMP-000025,COMP-000050,PARENT_COMPANY,2011-01-20,,kyc_file,0.9
REL-000261,CUST-001643,COMP-000050,SHAREHOLDER,2011-01-20,,kyc_file,0.9
REL-000262,COMP-000014,COMP-000035,UNRESOLVED_UBO_CHAIN,2025-11-11,,incomplete_kyc,0.3
